no,name,source_type,scope,public_price_krw_10k,source_url,notes,retrieved_at
1,에드스튜디오,업체 가이드,소기업 5~10P,300~700,https://edstudio.kr/blog/episode37.html,실제 프로젝트 및 국내 에이전시 시세 기준 설명,2026-09-07
2,베로(VERO),자사 정찰가,10P + 관리자,50~,https://www.verocore.co.kr/,스탠다드 시작가,2026-09-07
3,그루닛,자사 정찰가,5P,150,https://groonit.com/price,일반형 홈페이지,2026-09-07
4,아워웹,자사 정찰가,5P,66,https://www.ourweb.co.kr/,5페이지 구성 공개,2026-09-07
5,노피다,자사 정찰가,메인1+서브5P,80.4,https://nopida.co.kr/,LITE 시안형 공개 총액,2026-09-07
6,어코지눅,자사 정찰가,7P,75,https://acozynook.kr/index,DELUXE 비즈니스 타입,2026-09-07
7,프리코,자사 정찰가,10P,150~,https://frico.kr/pricing,기본형 할인가 시작,2026-09-07
8,아지트유니온,자사 정찰가,5P,70,https://azitwork.com/industry,템플릿 선택형 A,2026-09-07
9,웹스튜디오,자사 정찰가,메인1+서브5P,120,https://homepageweb.site/,퀵스타트,2026-09-07
10,우리웹(uriweb),자사 정찰가,10P,100,https://uriweb.kr/Price,반응형 기본형,2026-09-07
11,페이지트리,자사 정찰가,메인1+서브4P,79~,https://pagetree.imweb.me/service,STANDARD 시작,2026-09-07
12,레몬스튜디오,자사 정찰가,메인1+서브6P 이상,85~,https://lemonstudio.co.kr/,Deluxe 시작,2026-09-07
13,그리닝웹,자사 정찰가,메인1+서브15P,320~,https://greeningweb.co.kr/,일반형,2026-09-07
14,ordn,자사 정찰가,메인1+서브4P,120~,https://ordn.imweb.me/,PLUS 시작,2026-09-07
15,랭크업,자사 정찰가,30P,88,https://saydica.rankup.co.kr/rankup_solution/solution_detail.html?section=238,솔루션형 공개가,2026-09-07
16,픽셀아트공작소,자사 정찰가,랜딩 1P,150,https://pixelart-works.com/price/,BUSINESS 랜딩페이지,2026-09-07
17,하이브디자인,자사 정찰가,10P,300,https://imks.co.kr/ai.php,AI Basic 표시가,2026-09-07
18,PAGE10,자사 정찰가,10P 이내,30~70,https://www.page10.co.kr/,알뜰형~일반형,2026-09-07
19,디웹스,자사 정찰가,메인1+서브10P,200,https://www.dwebs.kr/price/homepage,반응형 홈페이지,2026-09-07
20,모모코드,자사 정찰가,최대 10P,195,https://momocode.co.kr/24,SIGNATURE,2026-09-07
21,비비드402,자사 정찰가,10P 이내,119~,https://vivid402.co.kr/,프리미엄 패키지,2026-09-07
22,헬로프레스,자사 정찰가,10P,150,https://hellopress.co.kr/service,Templates형,2026-09-07
23,마케팅다름,자사 정찰가,서브8P 중심,55~,https://www.darum.kr/page/page132,STANDARD 시작,2026-09-07
24,토니넷,자사 정찰가,10P 미만,200,https://www.tonny.net/wp/,CMS 기반,2026-09-07
25,웹파트너,자사 정찰가,10P,33,https://www.webpartners.co.kr/html/main.asp,교회 SIMPLE 특화,2026-09-07
26,알파카랩스,시장 가이드,유형 혼합,5~5000,https://www.alphaca.kr/website-development-cost-guide,노코드~풀커스텀 전체 범위,2026-09-07
27,벤처플래닛,시장 가이드,기본형,150~300,https://vplanet.biz/homepage-cost-guide/,2026 비용 가이드,2026-09-07
28,이비아이(EBI),시장 가이드,소규모 기업,100~300,https://www.ebiweb.co.kr/guide/homepage-cost,소규모 기업 일반 범위,2026-09-07
29,IDC.KR,시장 가이드,5~10P 맞춤,150~400,https://idc.kr/homepage-cost-guide/,맞춤 제작 범위,2026-09-07
30,웹닷,시장 가이드,10P 워드프레스,300~800,https://webdot.co.kr/guide/%ED%99%88%ED%8E%98%EC%9D%B4%EC%A7%80-%EC%A0%9C%EC%9E%91-%EB%B9%84%EC%9A%A9-%EB%8B%A8%EA%B0%80%ED%91%9C-%EC%B4%9D%EC%A0%95%EB%A6%AC,에이전시 외주 범위,2026-09-07
